@RELATION Mood

@ATTRIBUTE attackstartendtimes_std REAL
@ATTRIBUTE attackstartendtimes_mean REAL
@ATTRIBUTE logattacktime_std REAL
@ATTRIBUTE logattacktime_mean REAL
@ATTRIBUTE rms_std REAL
@ATTRIBUTE rms_mean REAL
@ATTRIBUTE spectralcentroid_std REAL
@ATTRIBUTE spectralcentroid_mean REAL
@ATTRIBUTE spectralcrest_std REAL
@ATTRIBUTE spectralcrest_mean REAL
@ATTRIBUTE spectralflatness_std REAL
@ATTRIBUTE spectralflatness_mean REAL
@ATTRIBUTE spectralflux_std REAL
@ATTRIBUTE spectralflux_mean REAL
@ATTRIBUTE spectralkurtosis_std REAL
@ATTRIBUTE spectralkurtosis_mean REAL
@ATTRIBUTE spectralrolloff_std REAL
@ATTRIBUTE spectralrolloff_mean REAL
@ATTRIBUTE spectralskewness_std REAL
@ATTRIBUTE spectralskewness_mean REAL
@ATTRIBUTE spectralspread_std REAL
@ATTRIBUTE spectralspread_mean REAL
@ATTRIBUTE temporalcentroid_std REAL
@ATTRIBUTE temporalcentroid_mean REAL
@ATTRIBUTE zerocrossingrate_std REAL
@ATTRIBUTE zerocrossingrate_mean REAL
@ATTRIBUTE mood {aggressive, sad, happy}

@DATA
0.040235160017,0.0970727752896,0.040235160017,0.0970727752896,0.040235160017,0.0970727752896,0.040235160017,0.0970727752896,0.040235160017,0.0970727752896,0.040235160017,0.0970727752896,0.040235160017,0.0970727752896,0.040235160017,0.0970727752896,0.040235160017,0.0970727752896,0.040235160017,0.0970727752896,0.040235160017,0.0970727752896,0.040235160017,0.0970727752896,0.040235160017,0.0970727752896,aggressive
0.134300741074,0.234275014558,0.134300741074,0.234275014558,0.134300741074,0.234275014558,0.134300741074,0.234275014558,0.134300741074,0.234275014558,0.134300741074,0.234275014558,0.134300741074,0.234275014558,0.134300741074,0.234275014558,0.134300741074,0.234275014558,0.134300741074,0.234275014558,0.134300741074,0.234275014558,0.134300741074,0.234275014558,0.134300741074,0.234275014558,aggressive
0.134570120135,0.208861688909,0.134570120135,0.208861688909,0.134570120135,0.208861688909,0.134570120135,0.208861688909,0.134570120135,0.208861688909,0.134570120135,0.208861688909,0.134570120135,0.208861688909,0.134570120135,0.208861688909,0.134570120135,0.208861688909,0.134570120135,0.208861688909,0.134570120135,0.208861688909,0.134570120135,0.208861688909,0.134570120135,0.208861688909,aggressive
0.0963111293166,0.257577869022,0.0963111293166,0.257577869022,0.0963111293166,0.257577869022,0.0963111293166,0.257577869022,0.0963111293166,0.257577869022,0.0963111293166,0.257577869022,0.0963111293166,0.257577869022,0.0963111293166,0.257577869022,0.0963111293166,0.257577869022,0.0963111293166,0.257577869022,0.0963111293166,0.257577869022,0.0963111293166,0.257577869022,0.0963111293166,0.257577869022,aggressive
0.0557503683264,0.185604577126,0.0557503683264,0.185604577126,0.0557503683264,0.185604577126,0.0557503683264,0.185604577126,0.0557503683264,0.185604577126,0.0557503683264,0.185604577126,0.0557503683264,0.185604577126,0.0557503683264,0.185604577126,0.0557503683264,0.185604577126,0.0557503683264,0.185604577126,0.0557503683264,0.185604577126,0.0557503683264,0.185604577126,0.0557503683264,0.185604577126,aggressive
0.111432287903,0.249364315408,0.111432287903,0.249364315408,0.111432287903,0.249364315408,0.111432287903,0.249364315408,0.111432287903,0.249364315408,0.111432287903,0.249364315408,0.111432287903,0.249364315408,0.111432287903,0.249364315408,0.111432287903,0.249364315408,0.111432287903,0.249364315408,0.111432287903,0.249364315408,0.111432287903,0.249364315408,0.111432287903,0.249364315408,aggressive
0.0900620255854,0.172827301084,0.0900620255854,0.172827301084,0.0900620255854,0.172827301084,0.0900620255854,0.172827301084,0.0900620255854,0.172827301084,0.0900620255854,0.172827301084,0.0900620255854,0.172827301084,0.0900620255854,0.172827301084,0.0900620255854,0.172827301084,0.0900620255854,0.172827301084,0.0900620255854,0.172827301084,0.0900620255854,0.172827301084,0.0900620255854,0.172827301084,aggressive
0.0459410285886,0.213377411295,0.0459410285886,0.213377411295,0.0459410285886,0.213377411295,0.0459410285886,0.213377411295,0.0459410285886,0.213377411295,0.0459410285886,0.213377411295,0.0459410285886,0.213377411295,0.0459410285886,0.213377411295,0.0459410285886,0.213377411295,0.0459410285886,0.213377411295,0.0459410285886,0.213377411295,0.0459410285886,0.213377411295,0.0459410285886,0.213377411295,aggressive
0.0861020728393,0.285273031579,0.0861020728393,0.285273031579,0.0861020728393,0.285273031579,0.0861020728393,0.285273031579,0.0861020728393,0.285273031579,0.0861020728393,0.285273031579,0.0861020728393,0.285273031579,0.0861020728393,0.285273031579,0.0861020728393,0.285273031579,0.0861020728393,0.285273031579,0.0861020728393,0.285273031579,0.0861020728393,0.285273031579,0.0861020728393,0.285273031579,aggressive
0.0765222870936,0.238830176084,0.0765222870936,0.238830176084,0.0765222870936,0.238830176084,0.0765222870936,0.238830176084,0.0765222870936,0.238830176084,0.0765222870936,0.238830176084,0.0765222870936,0.238830176084,0.0765222870936,0.238830176084,0.0765222870936,0.238830176084,0.0765222870936,0.238830176084,0.0765222870936,0.238830176084,0.0765222870936,0.238830176084,0.0765222870936,0.238830176084,aggressive
